new entry "Teleportation_Netherswap"
type "SkillData"
data "SkillType" "Teleportation"
data "ForGameMaster" "Yes"
data "Ability" "Air"
data "Tier" "Adept"
data "ActionPoints" "1"
data "Cooldown" "3"
data "Memory Cost" "1"
data "Magic Cost" "0"
data "TargetRadius" "13"
data "AreaRadius" "13"
data "HitRadius" "1"
data "Height" "5"
data "Acceleration" "20000"
data "TeleportDelay" "500"
data "TargetConditions" "(Character|Dead);!Grounded"
data "TeleportSelf" "No"
data "CanTargetCharacters" "Yes"
data "CanTargetItems" "Yes"
data "CanTargetTerrain" "No"
data "MemorizationRequirements" "AirSpecialist 2"
data "Icon" "Skill_Air_NetherSwap"
data "DisplayName" "Teleportation_Netherswap_DisplayName"
data "DisplayNameRef" "Netherswap"
data "Description" "Teleportation_Netherswap_Description"
data "DescriptionRef" "Make two characters or items switch places. One of the characters can be you."
data "FXScale" "100"
data "PrepareAnimationInit" "skill_prepare_divine_01_start"
data "PrepareAnimationLoop" "skill_prepare_divine_01_loop"
data "PrepareEffect" "RS3_FX_Skills_Void_Netherswap_Prepare_Root_01:root;RS3_FX_Skills_Void_Netherswap_Prepare_Hand_01:Dummy_L_HandFX;RS3_FX_Skills_Void_Netherswap_Prepare_Hand_Hand_01:Dummy_L_HandFX:hand01;RS3_FX_Skills_Void_Netherswap_Prepare_Hand_Hand_01:Dummy_L_HandFX:hand02"
data "CastAnimation" "skill_cast_aoe_divine_01_cast"
data "CastTextEvent" "cast"
data "PreviewEffect" "RS3_FX_UI_TargetPreviewer_Void_01"
data "DisappearEffect" "RS3_FX_Skills_Void_Netherswap_Disappear_Root_01,Detach;RS3_FX_Skills_Void_Netherswap_Disappear_Overlay_01"
data "ReappearEffect" "RS3_FX_Skills_Void_Netherswap_Reappear_01"

