new entry "Zone_LaserRay"
type "SkillData"
data "SkillType" "Zone"
data "ForGameMaster" "Yes"
data "Ability" "Fire"
data "Tier" "Adept"
data "ActionPoints" "2"
data "Cooldown" "3"
data "Damage Multiplier" "155"
data "Damage Range" "10"
data "DamageType" "Fire"
data "SkillProperties" "Ignite;Melt;BURNING,100,2"
data "DeathType" "Incinerate"
data "SurfaceType" "FireCloud"
data "SurfaceStatusChance" "100"
data "SurfaceGrowStep" "2"
data "SurfaceGrowInterval" "12"
data "TargetConditions" "!Dead;"
data "UseWeaponDamage" "No"
data "UseWeaponProperties" "No"
data "CanTargetCharacters" "Yes"
data "CanTargetItems" "Yes"
data "Icon" "Skill_Fire_LaserRay"
data "DisplayName" "Zone_LaserRay_DisplayName"
data "DisplayNameRef" "Laser Ray"
data "Description" "Zone_LaserRay_Description"
data "DescriptionRef" "Line of intense heat that deals [1] damage to characters and leaves fire clouds behind."
data "StatsDescriptionParams" "Damage"
data "FXScale" "100"
data "PrepareAnimationInit" "skill_prepare_divine_01_start"
data "PrepareAnimationLoop" "skill_prepare_divine_01_loop"
data "PrepareEffect" "RS3_FX_Skills_Fire_Prepare_LaserRay_Hand_01_Texkey:Dummy_R_HandFX:hand01;RS3_FX_Skills_Fire_Prepare_LaserRay_Hand_02_Texkey:Dummy_R_HandFX:hand02;RS3_FX_Skills_Fire_Prepare_LaserRay_Overhead_Texkey,KeepRot:Dummy_OverheadFX:hand02;RS3_FX_Skills_Fire_Prepare_LaserRay_Root_01_SFX:Dummy_Root"
data "CastAnimation" "skill_cast_beam_fire_01_cast"
data "CastTextEvent" "castsurface"
data "CastEffect" "RS3_FX_Skills_Fire_Cast_LaserRay_Overhead_01:Dummy_OverheadFX;RS3_FX_GP_Beams_LaserRay_Beam_01,Beam:Dummy_OverheadFX,Dummy_Custom_Anim;RS3_FX_Skills_Fire_Cast_LaserRay_Attachment_01:Dummy_Custom_Anim"
data "Memory Cost" "1"
data "Magic Cost" "0"
data "MemorizationRequirements" "FireSpecialist 2"
data "Shape" "Square"
data "BackStart" "8"
data "FrontOffset" "1"
data "Range" "20"
data "Base" "1"

